id,nombre,edad,educacion,historia,polemicas,link de imagen,fuentes,apodos/otros nombres
11,Magno Mendoza Rodríguez,,,,,,,Magno Mendoza
6,Yamel Romero Peralta,,,,,,,Yamel Romero
23,Mariano González Fernández,,,,,,,Mariano Gonzalez,|El ministro del amor
25,Phillip Butters,,,,,,,Phillip Butters| Butters
43,Pendiente,,,,,,,
32,Carlos Álvarez,,,,,,,Carlos Alvarez
37,Alex Gonzales Castillo,,,,,,,Alex Gonzalez Castillo
34,Liliana Humala de la Oliva,,,,,,,Liliana Humala de la Oliva
30,José Reynaldo López,,,,,,,Jose Reynaldo Lopez
61,Pendiente,,,,,,,
59,Richard Arce,,,,,,,Richard Arce
10,Enrique Valderrama Peña,,,,,,,Enrique Valderrama
14,Rafael Zevallos Bueno,,,,,,,Rafael Zevallos
50,Francisco Diez Canseco,,,,,,,Francisco Diez Canseco
52,Paul Jaimes,,,,,,,Paul Jaimes
5,Hernán Garrido Lecca,,,,,,,Hernan Garrido Lecca
20,Marisol Pérez Tello,,,,,,,Marisol Perez Tello
18,Rafael Belaunde Llosa,,,,,,,Rafael Belaunde
22,Luis Fernando Olivera Vega,,,,,,,Fernando Olivera | Popy
8,Augusto Valqui Malpica,,,,,,,Augusto Valqui
17,Roberto Chiabra,,,,,,,Roberto Chiapra
3,Jorge Morales Loyola,,,,,,,Jorge Morales
53,George Forsyth Sommer,,,,,,,George Forsyth| Forsyth| Forzay
16,José Torres Iriarte,,,,,,,Jose Torres
26,César Combina,,,,,,,César Combina
13,Emiliano Vargas Florecin,,,,,,,Emiliano Vargas
55,José Luna Gálvez,,,,,,,Jose Luna| Pepe Luna
2,Javier Velázquez Quesquén,,,,,,,Javier Velásquez Quesquén
7,Juan Sánchez Montes De Oca,,,,,,,Juan Sanchez
9,Juana Quiroz Betetta,,,,,,,Juana Quiroz
56,Rosario del Pilar Fernández Bazán,,,,,,,Rosario Fernandez
19,Miguel del Castillo,,,,,,,Miguel del Castillo
27,Álvaro Paz de la Barra,,,,,,,Álvaro Paz de la Barra
12,Neptali Ramírez Herrera,,,,,,,Neptalí Ramírez
15,Jorge Risco Vega,,,,,,,Jorge Risco
36,Herbert Caller Gutiérrez,,,,,,,Herbert Caller
57,Morgan Quero,,,,,,,Morgan Quero
28,Carlos Espá,,,,,,,Carlos Espá
31,Vladimir Cerrón Rojas,,,,,,,Vladimir Cerron
45,Víctor Andrés García Belaunde,,,,,,,Victor Andrés Garcia Belaunde| Vitocho
39,César Acuña Peralta,,,,,,,César Acuña| Plata como cancha
58,Ricardo Belmont Cassinelli,,,,,,,Ricardo Belmont| El Hermanón
42,Roberto Sánchez Palomino,,,,,,,Roberto Sanchez
46,Alfredo Barnechea,,,,,,,Alfredo Barnechea
38,Mario Vizcarra Cornejo,,,,,,,Mario Vizcarra
47,Edwin Martínez,,,,,,,Edwin Martinez
29,Carlos Jaico,,,,,,,Carlos Jaico
35,Charlie Carrasco Salazar,,,,,,,Charlie Carrasco
41,Ronald Atencio,,,,,,,Ronald Atencio
51,Armando Massé,,,,,,,Armando Massé
60,Mesías Guevara,,,,,,,Mesías Guevara
62,Yonhy Lescano Ancieta,,,,,,,Yonhy Lescano
63,Wolfgang Grozo,,,,,,,Wolfgang Grozo
64,Jorge Nieto Montesinos,,,,,,,Jorge Nieto
24,Rafael López Aliaga Cazorla,,,,,,,Rafael Lopez Aliaga| Lopez Aliaga,|Porky
54,Alfonso López Chau,,,,,,,Alfonso López Chau
44,Julio Chavez,,,,,,,Julio Chavez
21,Fiorella Molinelli Aristondo,,,,,,,Fiorella Molinelli
1,Keiko Fujimori,,,,,,,Keiko Fujimori| Señora K| La China
4,Jorge del Castillo Galvez,,,,,,,Jorge del Castillo